y,ψ(x=0),ψ(x=1),ψ(x=2),ψ(x=3)
0.0,300.0,300.0,300.0,300.0
0.1,300.0,232.8944,232.8944,300.0
0.2,300.0,211.3292,211.3292,300.0
0.30000000000000004,300.0,201.7676,201.7676,300.0
0.4,300.0,196.2811,196.2811,300.0
0.5,300.0,192.7731,192.7731,300.0
0.6000000000000001,300.0,190.6189,190.6189,300.0
0.7000000000000001,300.0,189.6192,189.6192,300.0
0.8,300.0,189.7104,189.7104,300.0
0.9,300.0,190.8556,190.8556,300.0
1.0,300.0,192.9692,192.9692,300.0
1.1,300.0,195.8577,195.8577,300.0
1.2000000000000002,300.0,199.2483,199.2483,300.0
1.3,300.0,203.0109,203.0109,300.0
1.4000000000000001,300.0,207.1904,207.1904,300.0
1.5,300.0,211.9516,211.9516,300.0
1.6,300.0,217.5197,217.5197,300.0
1.7000000000000002,300.0,224.1107,224.1107,300.0
1.8,300.0,231.8344,231.8344,300.0
1.9000000000000001,300.0,240.5365,240.5365,300.0
2.0,300.0,249.6438,249.6438,300.0
2.1,300.0,258.2447,258.2447,300.0
2.2,300.0,265.7548,265.7548,300.0
2.3000000000000003,300.0,271.9974,271.9974,300.0
2.4000000000000004,300.0,277.0506,277.0506,300.0
2.5,300.0,281.0928,281.0928,300.0
2.6,300.0,284.3213,284.3213,300.0
2.7,300.0,286.9109,286.9109,300.0
2.8000000000000003,300.0,289.0076,289.0076,300.0
2.9000000000000004,300.0,290.7248,290.7248,300.0
3.0,300.0,292.1524,292.1524,300.0
3.1,300.0,293.3579,293.3579,300.0
3.2,300.0,294.395,294.395,300.0
3.3000000000000003,300.0,295.3033,295.3033,300.0
3.4000000000000004,300.0,296.1149,296.1149,300.0
3.5,300.0,296.8533,296.8533,300.0
3.6,300.0,297.5382,297.5382,300.0
3.7,300.0,298.1841,298.1841,300.0
3.8000000000000003,300.0,298.8033,298.8033,300.0
3.9000000000000004,300.0,299.4057,299.4057,300.0
4.0,300.0,300.0,300.0,300.0
